feature,coefficient,abs_coefficient
cat__sex_Other,-0.7172913409336095,0.7172913409336095
cat__sex_Female,0.2947298774934771,0.2947298774934771
num__age,0.20900343857494538,0.20900343857494538
cat__sex_Male,0.16414968193694698,0.16414968193694698
num__diabetes,0.09367810964255503,0.09367810964255503
num__diastolic_bp,0.08051045016088638,0.08051045016088638
num__hypertension,0.06702747777234427,0.06702747777234427
num__cholesterol,-0.06339200367831763,0.06339200367831763
num__bmi,-0.061580756552868814,0.061580756552868814
num__creatinine,0.039230204901455554,0.039230204901455554
num__systolic_bp,-0.0011519221445861197,0.0011519221445861197
num__glucose,-1.5297278252466315e-05,1.5297278252466315e-05
